0,0,66,55,85,69,33,20,23,83,94,19,60,54,76,44,31,36,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,59,55,95,46,52,30,61,25,83,13,88,50,63,57,66,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,90,26,43,16,88,4,17,30,72,33,73,61,92,100,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,57,62,2,94,85,35,78,16,4,64,1,42,25,61,92,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,37,90,34,39,31,96,91,46,73,38,63,56,85,18,88,92,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,85,20,51,93,17,47,56,88,41,50,62,87,9,90,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,49,45,12,23,15,74,75,87,9,97,41,89,73,42,8,18,76,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,7,31,30,36,93,41,19,78,12,56,88,40,85,98,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,59,88,92,72,80,56,50,30,75,32,84,66,55,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,51,7,98,89,66,61,37,12,34,3,9,72,36,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,79,37,85,47,99,87,67,55,80,50,70,46,73,3,62,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,92,22,58,56,99,60,68,83,9,96,5,7,16,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,38,31,73,55,28,99,19,48,81,13,47,40,78,42,20,37,72,53,70,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,59,26,29,8,72,19,28,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78,15,31,88,32,79,53,27,39,73,100,11,2,83,28,6,38,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,73,71,10,70,6,30,16,55,61,74,89,68,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,65,97,84,19,67,100,5,81,41,34,46,94,89,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,6,42,80,78,73,39,96,30,8,49,2,56,77,66,43,20,64,67,95,17,0,0,0,0,0,0,0,0,0,0,0
0,0,16,52,80,14,63,39,58,12,24,21,34,79,8,32,61,84,82,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,85,98,99,63,91,97,1,78,74,39,3,93,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,16,6,100,19,22,82,14,23,12,80,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,60,65,81,86,13,96,47,18,28,91,72,62,7,26,16,23,24,29,38,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36,1,28,62,71,43,78,22,89,13,26,64,55,50,27,96,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,92,59,43,98,40,11,26,15,69,27,25,86,76,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,82,99,74,14,93,45,63,29,37,95,41,46,27,87,88,98,81,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70,43,85,1,77,91,83,67,18,31,40,35,19,34,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,86,28,18,6,51,100,7,14,62,77,19,81,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,31,61,97,81,3,7,1,44,33,34,96,69,85,87,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,84,89,46,32,50,34,2,15,1,4,47,64,90,29,51,52,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
