0,0,41,82,66,65,36,47,20,84,68,100,6,97,94,83,54,28,2,48,21,85,62,38,67,8,29,1,64,56,81,70,45,89,11,75,63,44,4,22,91,35,43,51,32,7,87,55,59,72,69,27,93,77,0,0,0,0,0,0,0,0
0,0,56,52,74,30,27,67,7,77,83,68,45,34,91,4,42,86,64,15,24,92,95,6,87,71,10,23,89,28,5,75,82,39,70,93,98,47,50,21,48,96,11,53,31,61,41,9,55,90,16,88,81,12,69,78,60,0,0,0,0,0
0,0,68,100,50,31,94,12,88,29,89,99,16,15,76,23,42,48,72,60,57,40,2,6,86,61,41,71,73,98,84,69,67,13,80,49,95,90,17,92,8,64,9,65,34,52,51,62,66,75,3,30,0,0,0,0,0,0,0,0,0,0
0,0,23,42,61,16,27,59,62,81,34,44,52,77,83,55,90,64,14,18,86,48,31,100,91,26,53,15,63,58,84,80,9,6,68,5,78,51,97,71,98,43,96,49,1,10,88,40,99,28,95,94,25,0,0,0,0,0,0,0,0,0
0,0,58,73,84,74,49,89,20,69,48,7,56,46,31,67,90,83,70,61,88,97,35,60,4,65,59,38,33,34,40,96,80,62,30,14,29,72,63,50,85,45,87,36,95,12,25,44,32,91,81,55,0,0,0,0,0,0,0,0,0,0
0,0,59,92,49,46,62,61,24,60,69,94,8,35,84,20,98,39,41,58,89,53,37,73,74,31,25,29,67,90,71,32,82,6,16,1,66,28,81,47,21,4,79,86,50,57,75,33,10,96,83,42,48,70,87,2,18,55,72,99,0,0
0,0,94,63,65,70,28,27,76,58,23,93,25,88,100,11,46,62,12,67,7,9,48,34,45,79,26,31,69,61,41,66,80,33,90,97,43,56,95,68,87,36,60,75,19,3,53,29,55,78,74,22,20,32,0,0,0,0,0,0,0,0
0,0,78,67,97,35,80,17,19,83,63,5,11,4,72,16,98,88,21,54,20,12,43,9,31,7,60,75,77,6,14,61,99,70,71,15,68,40,57,38,13,10,89,49,48,50,79,76,36,56,22,41,73,94,0,0,0,0,0,0,0,0
0,0,88,75,11,53,4,80,54,92,61,21,50,74,19,2,70,52,15,97,38,42,95,65,35,87,3,51,82,36,71,55,72,39,83,64,100,23,48,37,76,7,78,66,84,41,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38,92,59,94,98,83,85,93,41,55,99,77,75,7,29,74,32,81,46,60,47,86,57,9,37,1,43,61,65,30,21,89,28,79,73,96,17,18,90,71,68,91,51,58,10,48,87,24,44,70,6,4,27,0,0,0,0,0,0,0
0,0,57,94,31,58,85,12,48,56,19,93,99,33,68,64,63,44,23,39,38,53,8,32,21,96,84,47,87,15,52,97,67,28,34,13,77,17,37,26,22,69,10,72,43,100,80,45,25,49,78,79,0,0,0,0,0,0,0,0,0,0
