0,0,27,93,87,55,59,72,7,32,51,43,35,91,22,4,44,63,75,11,45,70,81,56,64,1,29,8,67,38,62,85,21,48,2,28,54,83,94,97,6,100,68,84,41,82,66,65,36,47,20,78,77,96,0,0,0,0,0,0,0,0,0,0
0,0,56,52,74,30,27,67,7,76,77,83,68,45,34,91,4,42,86,64,15,24,92,95,6,87,71,10,23,89,28,5,75,82,39,70,93,98,47,50,21,57,48,96,11,53,31,61,41,9,55,90,16,88,81,12,69,78,60,0,0,0,0,0
0,0,3,30,58,37,36,83,28,97,77,78,96,63,94,31,12,88,29,89,99,16,15,72,60,57,40,2,6,86,61,41,71,73,98,84,69,67,13,80,49,95,90,17,92,8,64,9,65,34,52,51,100,68,0,0,0,0,0,0,0,0,0,0
0,0,41,42,61,16,27,59,62,81,34,44,52,77,83,55,90,64,14,18,86,48,100,31,91,26,66,17,21,45,3,63,58,84,80,9,6,68,5,78,51,97,1,49,96,10,88,40,99,28,95,94,25,74,0,0,0,0,0,0,0,0,0,0
0,0,81,91,13,5,32,44,25,85,50,63,72,29,14,30,62,80,96,40,34,33,38,59,65,60,35,97,88,61,70,83,90,67,31,46,69,20,89,49,74,84,73,82,48,7,56,77,54,19,42,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,92,49,46,62,61,24,60,69,94,8,35,84,20,98,39,41,58,89,53,37,73,74,31,5,44,95,34,67,90,71,32,82,6,16,1,66,28,81,47,21,22,4,79,86,50,57,75,33,10,96,83,42,48,70,87,2,18,55,72,99,59,0
0,0,32,20,94,63,65,70,28,27,76,58,23,93,25,88,4,100,11,67,46,62,12,7,9,48,34,45,79,26,31,69,61,41,66,80,33,90,97,43,56,95,68,87,36,60,75,19,3,53,29,55,78,74,22,0,0,0,0,0,0,0,0,0
0,0,78,67,97,35,80,17,19,83,63,5,11,4,72,16,98,88,21,54,20,12,43,9,31,7,60,75,77,6,14,61,99,70,71,15,68,40,57,38,13,10,89,49,48,50,79,76,36,56,22,41,73,94,0,0,0,0,0,0,0,0,0,0
0,0,41,84,7,76,37,23,100,64,83,39,72,55,71,36,82,51,3,87,35,65,60,95,42,38,97,15,52,70,2,19,74,50,21,61,92,54,80,4,53,75,11,93,78,66,69,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,92,59,94,98,83,85,93,55,77,99,41,40,50,7,29,74,32,81,46,60,47,86,57,9,37,1,39,67,34,56,43,61,65,30,21,89,28,79,73,96,17,18,90,71,68,91,10,48,44,70,6,4,0,0,0,0,0,0,0,0,0
