0,0,72,59,55,87,7,22,44,4,63,17,16,58,12,37,24,31,62,85,21,48,2,54,28,83,94,97,6,100,84,68,41,82,66,36,65,47,20,38,67,29,8,70,45,11,75,89,93,27,0,0,0,0,0,0,0,0,0,0
0,0,9,55,41,61,31,53,11,50,47,93,39,75,5,28,10,87,71,6,95,24,15,64,42,86,4,91,34,45,83,68,77,76,29,98,58,90,16,88,81,12,30,27,67,74,56,69,78,60,0,0,0,0,0,0,0,0,0,0
0,0,10,52,34,65,9,64,8,92,17,90,49,95,80,84,69,13,98,73,71,41,61,86,6,2,40,57,60,72,99,16,29,88,12,63,96,78,77,97,28,36,37,58,30,3,100,68,51,62,0,0,0,0,0,0,0,0,0,0
0,0,16,62,81,34,44,52,77,14,64,90,55,83,48,100,91,26,53,15,63,58,84,80,9,6,68,5,78,51,72,97,43,98,71,96,49,1,88,40,99,28,95,94,19,61,42,23,41,25,74,0,0,0,0,0,0,0,0,0
0,0,58,73,84,74,89,49,20,69,48,7,56,46,31,67,90,83,70,97,35,60,4,65,59,38,33,40,96,34,80,62,30,14,29,72,63,85,27,52,51,98,44,32,5,13,91,54,42,16,0,0,0,0,0,0,0,0,0,0
0,0,21,22,47,81,66,28,1,16,6,82,32,71,90,67,34,5,31,73,74,37,53,58,41,39,98,20,84,35,8,94,69,60,24,61,62,49,46,52,72,55,18,2,87,70,48,42,96,10,33,36,57,75,99,59,0,0,0,0
0,0,74,78,55,29,53,3,19,75,60,36,87,68,95,56,43,97,90,80,6,33,66,41,61,69,79,45,34,48,9,7,12,62,46,67,11,100,88,25,93,23,58,76,27,28,70,65,63,94,20,32,64,13,0,0,0,0,0,0
0,0,33,11,5,63,19,17,80,35,83,97,67,78,2,79,50,48,49,89,10,37,15,68,71,70,99,40,57,38,13,61,14,6,77,75,60,7,25,98,16,72,4,41,22,56,36,76,94,0,0,0,0,0,0,0,0,0,0,0
0,0,1,69,81,88,53,4,80,54,92,61,21,50,74,11,75,93,19,2,70,52,97,38,42,95,60,65,35,87,3,51,82,36,71,72,55,13,31,83,64,100,23,37,7,66,78,41,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,52,59,94,98,83,15,55,99,77,41,93,40,50,7,29,74,32,81,46,60,47,57,9,37,1,43,61,65,97,78,86,31,66,36,88,20,51,91,68,71,90,87,24,44,70,6,48,10,38,0,0,0,0,0,0,0,0
0,0,12,48,56,83,93,99,33,68,63,41,62,38,53,8,32,96,21,84,47,87,15,52,97,67,34,13,77,17,37,26,22,69,10,72,43,85,58,94,57,60,79,78,49,25,45,61,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,70,13,18,84,100,96,34,29,46,68,54,63,78,83,25,98,66,72,99,56,37,92,36,57,61,51,26,73,27,49,62,31,19,58,6,89,23,32,69,97,10,20,41,48,33,0,0,0,0,0,0,0,0,0,0,0,0
