0,0,44,4,63,17,56,64,1,29,8,67,38,62,85,21,48,2,54,28,94,83,20,47,36,65,66,41,82,84,68,13,86,18,46,71,19,59,55,87,7,75,11,45,93,27,69,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,9,41,61,31,53,11,50,47,93,70,39,75,5,28,23,10,71,87,6,95,92,24,15,64,42,86,4,91,34,45,83,68,77,76,29,98,58,90,16,88,81,12,30,27,67,74,56,78,60,0,0,0,0,0,0,0
0,0,64,8,92,17,90,95,49,80,84,69,73,71,41,61,86,6,2,60,72,48,22,23,42,76,15,16,99,29,88,12,31,50,52,34,65,9,38,51,100,30,3,75,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,99,40,88,96,49,1,97,51,78,72,80,84,58,63,15,53,26,91,100,31,48,86,14,64,90,55,83,73,44,34,81,62,59,22,35,68,6,5,54,32,94,19,61,42,23,41,25,74,0,0,0,0,0,0,0,0,0
0,0,16,73,84,74,49,89,20,69,48,7,82,56,46,31,67,83,90,97,35,60,4,65,59,38,33,34,40,96,80,62,30,14,29,72,63,50,85,25,44,32,5,13,91,54,19,42,0,0,0,0,0,0,0,0,0,0,0
0,0,52,46,62,61,24,60,69,94,8,35,84,20,41,39,98,58,89,53,37,73,31,74,29,25,67,90,71,32,82,6,16,1,28,66,81,47,21,22,4,79,86,57,75,33,10,96,83,42,48,70,2,87,18,55,99,59,0
0,0,49,70,28,27,58,76,23,93,25,88,100,11,46,62,67,12,7,48,34,45,79,61,69,41,66,97,90,43,56,95,68,87,36,60,75,19,3,53,29,55,78,74,22,16,65,63,94,20,32,0,0,0,0,0,0,0,0
0,0,2,79,50,48,89,10,13,38,57,40,68,15,71,70,99,44,66,6,77,75,60,7,31,9,12,43,20,54,21,88,98,16,72,4,11,5,63,19,83,97,67,78,36,76,56,22,41,94,0,0,0,0,0,0,0,0,0
0,0,7,76,23,64,83,31,72,55,71,36,82,51,3,87,60,35,65,42,95,20,38,97,15,52,70,2,19,50,21,61,92,54,80,4,53,75,11,74,93,78,66,84,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38,54,100,93,55,99,77,41,40,50,7,29,74,32,81,46,47,60,57,9,37,1,43,61,65,97,78,86,31,66,36,88,51,68,91,71,90,87,24,44,70,6,48,10,4,27,16,52,0,0,0,0,0,0,0,0,0
